,name,lat,long,rain,temp
61,ราชบุรี,"{'Value': '13.489305555555555555555555555', 'Unit': 'decimal degree'}","{'Value': '99.79238888888888888888888889', 'Unit': 'decimal degree'}",0.0,26.5
62,สุพรรณบุรี,"{'Value': '14.474444444444444444444444445', 'Unit': 'decimal degree'}","{'Value': '100.13888888888888888888888889', 'Unit': 'decimal degree'}",0.0,28.2
63,อู่ทอง สกษ.,"{'Value': '14.303611111111111111111111111', 'Unit': 'decimal degree'}","{'Value': '99.86472222222222222222222222', 'Unit': 'decimal degree'}",0.0,28.1
64,ลพบุรี,"{'Value': '14.799722222222222222222222222', 'Unit': 'decimal degree'}","{'Value': '100.62833333333333333333333334', 'Unit': 'decimal degree'}",3.5,27.1
65,บัวชุม  ,"{'Value': '15.266666666666666666666666667', 'Unit': 'decimal degree'}","{'Value': '101.18736111111111111111111111', 'Unit': 'decimal degree'}",10.6,25.1
66,นำร่อง,"{'Value': '13.377222222222222222222222223', 'Unit': 'decimal degree'}","{'Value': '100.59944444444444444444444444', 'Unit': 'decimal degree'}",0.0,31.0
67,สมุทรปราการ สกษ.,"{'Value': '13.516666666666666666666666667', 'Unit': 'decimal degree'}","{'Value': '100.76166666666666666666666667', 'Unit': 'decimal degree'}",0.0,30.9
68,สนามบินสุวรรณภูมิ,"{'Value': '13.686388888888888888888888889', 'Unit': 'decimal degree'}","{'Value': '100.76750000000000000000000000', 'Unit': 'decimal degree'}",0.0,29.9
69,ปราจีนบุรี,"{'Value': '14.058416666666666666666666667', 'Unit': 'decimal degree'}","{'Value': '101.36930555555555555555555556', 'Unit': 'decimal degree'}",6.9,28.6
70,กบินทร์บุรี,"{'Value': '13.983333333333333333333333333', 'Unit': 'decimal degree'}","{'Value': '101.70722222222222222222222222', 'Unit': 'decimal degree'}",0.4,27.0
71,นครราชสีมา,"{'Value': '14.968305555555555555555555556', 'Unit': 'decimal degree'}","{'Value': '102.08602777777777777777777777', 'Unit': 'decimal degree'}",1.3,26.4
